source_job_id,original_job_title,company,industry_raw,normalized_role,role_family,role_group,role_level,is_ict,ict_role_confidence,role_normalization_confidence,role_group_confidence,classification_reason,normalization_reason,needs_manual_review,manual_review_reason
solution-engineer,Solution Engineer,SanlamAllianz Life Insurance Plc,"Computer and IT, Other",Full-Stack Developer,Software Development,Software Development,Mid-Level,True,1.0,0.85,0.9,"Title strongly indicates ICT role: 'Solution Engineer'; Industry includes 'Computer and IT': Computer and IT, Other; Strong ICT function evidence (7 keyword clusters)",Solution Engineer with full-stack responsibilities (front-end + back-end),False,
digital-project-manager-0,Digital Project Manager,Vision Fund Rwanda,"Computer and IT, Other",ICT Manager / IT Manager,ICT Management,ICT Management,Manager,True,0.65,0.9,0.95,"Title strongly indicates ICT role: 'Digital Project Manager'; Industry includes 'Computer and IT': Computer and IT, Other",Title indicates ICT management role,False,
network-and-security-engineer,Network and Security Engineer,Rwanda Medical Supply Ltd,"Computer and IT, Other",Network Engineer / Network Administrator,Networks,Networks,Senior,True,1.0,0.9,0.95,"Title strongly indicates ICT role: 'Network and Security Engineer'; Industry includes 'Computer and IT': Computer and IT, Other; Strong ICT function evidence (7 keyword clusters)",Title indicates network + security engineering (network-primary),False,
it-internal-auditor-0,IT Internal Auditor,Vision Fund Rwanda,"Computer and IT, Other",IT Auditor / IT Governance & Risk,IT Governance & Audit,IT Governance & Audit,Mid-Level,True,0.85,0.9,0.95,"Title strongly indicates ICT role: 'IT Internal Auditor'; Industry includes 'Computer and IT': Computer and IT, Other; Moderate ICT function evidence (4 keyword clusters)",Title indicates IT audit/governance role,False,
182789,FullStack Developer,MALFOUR LIMITED,,Full-Stack Developer,Software Development,Software Development,Not Specified,True,0.6,0.95,1.0,Title strongly indicates ICT role: 'FullStack Developer'; Weak ICT function evidence (1 keyword clusters),Title contains 'full stack',False,
177463,PHP Larval Debug Code,KORSTRADA ENTERPRISES LIMITED,,Software Developer / Software Engineer,Software Development,Software Development,Not Specified,True,0.6,0.8,0.85,Title strongly indicates ICT role: 'PHP Larval Debug Code'; Weak ICT function evidence (1 keyword clusters),Programming language + action word in title indicates software development,False,
182028,Software Developer,AMAZETHU,,Software Developer / Software Engineer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Software Developer',Title indicates software development,True,Low ICT classification confidence (0.5)
98977,ANGULAR Developer (M/F),AFRICASHORE,,Frontend / Web Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'ANGULAR Developer (M/F)',Frontend framework/language developer title,True,Low ICT classification confidence (0.5)
98978,DevOps Engineer (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.6,0.95,1.0,Title strongly indicates ICT role: 'DevOps Engineer (M/F)'; Weak ICT function evidence (1 keyword clusters),Title indicates DevOps engineering,False,
98979,DOTNET Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'DOTNET Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
98980,IOS Developer (M/F),AFRICASHORE,,Mobile App Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'IOS Developer (M/F)',Mobile platform/language developer title,True,Low ICT classification confidence (0.5)
98981,JAVA Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'JAVA Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
98982,JAVA JEE Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'JAVA JEE Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
98983,JAVASCRIPT Developer (M/F),AFRICASHORE,,Frontend / Web Developer,Software Development,Software Development,Not Specified,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'JAVASCRIPT Developer (M/F)'; Weak ICT function evidence (2 keyword clusters),Frontend framework/language developer title,False,
98984,KOTLIN Developer (M/F),AFRICASHORE,,Mobile App Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'KOTLIN Developer (M/F)',Mobile platform/language developer title,True,Low ICT classification confidence (0.5)
98985,LARAVEL Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'LARAVEL Developer (M/F)'; Weak ICT function evidence (1 keyword clusters),Technology-specific developer title maps to Backend Developer,False,
98986,NODE.JS Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'NODE.JS Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
98987,OBJECTIVE-C Developer (M/F),AFRICASHORE,,Mobile App Developer,Software Development,Software Development,Not Specified,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'OBJECTIVE-C Developer (M/F)'; Weak ICT function evidence (1 keyword clusters),Mobile platform/language developer title,False,
98988,PHP Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'PHP Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
98989,PYTHON Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.6,0.9,0.95,Title strongly indicates ICT role: 'PYTHON Developer (M/F)'; Weak ICT function evidence (1 keyword clusters),Technology-specific developer title maps to Backend Developer,False,
98990,QA Tester (M/F),AFRICASHORE,,QA / Software Test Engineer,Software Quality,Software Quality,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'QA Tester (M/F)',Title indicates QA/testing role,True,Low ICT classification confidence (0.5)
98991,REACT Developer (M/F),AFRICASHORE,,Frontend / Web Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'REACT Developer (M/F)',Frontend framework/language developer title,True,Low ICT classification confidence (0.5)
98992,RUBY ON RAILS Developer (M/F),AFRICASHORE,,Backend Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'RUBY ON RAILS Developer (M/F)',Technology-specific developer title maps to Backend Developer,True,Low ICT classification confidence (0.5)
98993,SWIFT Developer (M/F),AFRICASHORE,,Mobile App Developer,Software Development,Software Development,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'SWIFT Developer (M/F)',Mobile platform/language developer title,True,Low ICT classification confidence (0.5)
98994,Test and Validation Engineer (M/F),AFRICASHORE,,QA / Software Test Engineer,Software Quality,Software Quality,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Test and Validation Engineer (M/F)',Title indicates QA/testing role,True,Low ICT classification confidence (0.5)
98995,Test Automation Engineer (M/F),AFRICASHORE,,QA / Software Test Engineer,Software Quality,Software Quality,Not Specified,True,0.5,0.9,0.95,Title strongly indicates ICT role: 'Test Automation Engineer (M/F)',Title indicates QA/testing role,True,Low ICT classification confidence (0.5)
98996,UX / UI Designer (M/F),AFRICASHORE,,Frontend / Web Developer,Software Development,Software Development,Not Specified,True,0.5,0.8,0.85,Title strongly indicates ICT role: 'UX / UI Designer (M/F)',UX/UI Designer maps to Frontend / Web Developer,True,Low ICT classification confidence (0.5)
98997,AWS Cloud Architect (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.5,0.85,0.9,Title strongly indicates ICT role: 'AWS Cloud Architect (M/F)',Cloud architecture/specialist title maps to DevOps / Cloud Engineer,True,Low ICT classification confidence (0.5)
98998,AWS Solutions Architect (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'AWS Solutions Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,
98999,AZURE Solutions Architect (M/F),AFRICASHORE,,DevOps / Cloud Engineer,Cloud & DevOps,Cloud & DevOps,Not Specified,True,0.6,0.85,0.9,Title strongly indicates ICT role: 'AZURE Solutions Architect (M/F)'; Weak ICT function evidence (1 keyword clusters),Cloud architecture/specialist title maps to DevOps / Cloud Engineer,False,
